id,task_name,status,arm_type,station_type,duration_s,operator,overall_quality,annotation_quality,audit_result,data_purpose,created_at,updated_at,nfs_path
01a06830-e148-7229-bb72-f4aff376312b,industrial packing,completed,yam,yam_0_61,26.1,yinli,,,,prod,2026-09-03 16:55:20.388724+00:00,2026-09-03 16:55:20.468584+00:00,/nfs/data/sz_34/20260903/episode_20260903_165349_000_a79de205.npy.mp4
01a06830-4120-7770-935c-c3b898cf3f52,industrial packing,completed,yam,yam_0_61,35.6,yinli,,,,prod,2026-09-03 16:54:52.143752+00:00,2026-09-03 16:54:52.224954+00:00,/nfs/data/sz_34/20260903/episode_20260903_165308_000_c3cccf47.npy.mp4
01a0682f-a0f8-7f5e-981e-f351a6f367cf,industrial packing,completed,yam,yam_0_61,36.0,yinli,,,,prod,2026-09-03 16:54:12.762253+00:00,2026-09-03 16:54:12.922397+00:00,/nfs/data/sz_34/20260903/episode_20260903_165227_000_16ebf80e.npy.mp4
01a06826-3ea0-7b9e-a85d-6014d4c73add,industrial packing,completed,yam,yam_0_61,34.2,yinli,,,,prod,2026-09-03 16:43:55.466945+00:00,2026-09-03 16:53:55.054821+00:00,/nfs/data/sz_34/20260903/episode_20260903_164212_000_681e8bf2.npy.mp4
01a0682e-ed48-7479-8d9c-e08c8fcd3d79,industrial packing,completed,yam,yam_0_61,41.8,yinli,,,,prod,2026-09-03 16:53:33.464368+00:00,2026-09-03 16:53:33.541547+00:00,/nfs/data/sz_34/20260903/episode_20260903_165141_000_4030fb4d.npy.mp4
01a06825-a260-7036-a4e0-b304896f40fa,industrial packing,completed,yam,yam_0_61,35.7,yinli,,,,prod,2026-09-03 16:43:16.226944+00:00,2026-09-03 16:52:50.402626+00:00,/nfs/data/sz_34/20260903/episode_20260903_164132_000_803e6f81.npy.mp4
01a0682e-6490-74aa-a1e7-a654a2b774e7,industrial packing,completed,yam,yam_0_61,30.1,yinli,,,,prod,2026-09-03 16:52:43.223037+00:00,2026-09-03 16:52:43.290979+00:00,/nfs/data/sz_34/20260903/episode_20260903_165106_000_7b9f86ea.npy.mp4
01a0682d-c468-756b-bdf3-c97ccf16ba73,industrial packing,completed,yam,yam_0_61,36.5,yinli,,,,prod,2026-09-03 16:52:08.993867+00:00,2026-09-03 16:52:09.061718+00:00,/nfs/data/sz_34/20260903/episode_20260903_165025_000_6810f7f5.npy.mp4
01a06825-11d8-73c1-9612-85e15847ed16,industrial packing,completed,yam,yam_0_61,32.6,yinli,,,,prod,2026-09-03 16:42:36.979206+00:00,2026-09-03 16:51:31.821592+00:00,/nfs/data/sz_34/20260903/episode_20260903_164055_000_6977b315.npy.mp4
01a0682d-2440-7403-b226-e17e7220a4bf,industrial packing,completed,yam,yam_0_61,31.0,yinli,,,,prod,2026-09-03 16:51:24.738574+00:00,2026-09-03 16:51:24.818246+00:00,/nfs/data/sz_34/20260903/episode_20260903_164944_000_50203bb5.npy.mp4
